id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km,diametre_moyen_km,distance_lunaire
54016994,(2020 JH1),False,0.0278326768,0.0622357573,27131.2170953661,62796481.5414604,0.04503421705,163.36233491534963
54053733,(2020 RL),False,0.0253837029,0.0567596853,31567.1914796913,40923341.609039135,0.0410716941,106.46030595483646
54279762,(2022 KA),False,0.0248058993,0.0554676771,21615.6827309002,37624380.971163616,0.0401367882,97.87820231832366
54336914,(2022 YS5),False,0.0286124454,0.0639793729,22540.3620976753,16708864.457056709,0.046295909149999995,43.46738932637021
54507938,(2024 YL1),False,0.0091317703,0.020419259,17221.0757075885,2356964.228021136,0.014775514649999998,6.131540655622102
54508760,(2024 YE2),False,0.0239086457,0.0534613571,27093.5053048378,22520907.46099667,0.0386850014,58.5871682127905
54511958,(2024 YC9),False,0.0107784169,0.0241012728,31292.6445907848,1306415.340155464,0.01743984485,3.39858309093513
54513047,(2025 AB),False,0.0099667824,0.022286403,41616.9114929496,153127.347506697,0.0161265927,0.39835418185925336
54513657,(2025 AE),False,0.0189040552,0.0422707525,60284.99467624,6288669.776366644,0.03058740385,16.359702852150477
54514893,(2025 AX1),False,0.0113384836,0.0253536201,52567.6423014104,1091513.33244692,0.01834605185,2.8395247982490113
54514029,(2025 AO),False,0.0047266667,0.010569148,35339.0601860675,459327.199940949,0.00764790735,1.1949198749764542
54515071,(2025 AN2),False,0.010388551,0.0232295062,30569.6769598652,706413.349326192,0.016809028599999998,1.837703822388637
54515308,(2025 AC3),False,0.0192555078,0.0430566244,25695.5246637204,7830455.179602987,0.031156066099999997,20.370590997926605
54516463,(2025 BE1),False,0.013506878,0.0302022973,29662.8855099861,7947528.079099067,0.02185458765,20.675151090268123
54539579,(2025 OC17),False,0.0631764148,0.1412667581,43506.815132583,20430381.24314568,0.10222158645,53.14875453471821
2459462,459462 (2013 AY52),False,0.2783267681,0.6223575734,62720.0394634552,15830336.75368406,0.45034217075,41.18193744454751
3648769,(2013 TK4),False,0.0425162524,0.0950692305,64471.3074111931,53240801.67182095,0.06879274145,138.50364638871216
3656933,(2014 BM25),False,0.0063760979,0.0142573883,55213.8976234976,42733613.705436125,0.0103167431,111.16965063849148
3703792,(2015 BF),False,0.0127219879,0.0284472297,92433.5572978271,72149352.40152915,0.0205846088,187.69342456173035
3766462,(2017 AZ13),False,0.1067959975,0.2388031102,43194.0973228348,24373475.96157024,0.17279955385,63.406545165375235
3837784,(2019 AR8),False,0.0200703514,0.0448786701,82067.9308472164,66096247.4945897,0.03247451075,171.94653354471828
3842769,(2019 LS1),False,0.0848310762,0.189688053,44753.354806865,18639595.585777443,0.1372595646,48.49010298069054
3843713,(2019 QS6),False,0.0160160338,0.0358129403,18369.899581269,40941595.586015895,0.025914487049999997,106.50779288765841
3968754,(2019 YA5),False,0.0167708462,0.0375007522,45382.1604748949,41802119.06605575,0.0271357992,108.74640755997855
54317879,(2022 UF4),False,0.0328514828,0.0734581487,41585.7391615498,57230310.20651767,0.05315481575,148.88218055805845
54327895,(2022 WF2),False,0.0144063837,0.0322136532,34539.9658720083,49729029.56671141,0.023310018449999997,129.36792291027942
54433331,(2024 GE2),False,0.0067694748,0.0151370059,17530.492898011,25623356.2022021,0.01095324035,66.65805463632181
54505721,(2024 XP10),False,0.0324007435,0.0724502651,30314.6632277458,7568817.944598584,0.052425504299999995,19.689953029652926
54507534,(2024 XB20),False,0.0167708462,0.0375007522,10221.6013776193,13658066.37012045,0.0271357992,35.53086984942885
54509097,(2024 YR3),False,0.0216050351,0.0483103272,13304.2848562925,9453011.883683763,0.03495768115,24.591602194806878
54511078,(2024 YF7),False,0.0187307418,0.0418832119,48848.5189200517,1938313.915635721,0.03030697685,5.042439947023208
54511096,(2024 YR8),False,0.0319561887,0.0714562102,58335.4717393093,8089871.903503406,0.05170619945,21.04545240245423
54512607,(2024 YR9),False,0.0189040552,0.0422707525,74668.1195669771,3348567.216768578,0.03058740385,8.711153009283501
54512608,(2024 YS9),False,0.0072536229,0.016219594,76377.2690659658,1582435.722210165,0.01173660845,4.116638195135705
54513049,(2025 AC),False,0.0041740243,0.0093334022,15404.3221587505,140221.389663927,0.00675371325,0.3647798898645343
54514894,(2025 AA2),False,0.0160899605,0.0359782453,48681.4624595309,1245828.801196944,0.0260341029,3.2409698262147346
54514901,(2025 AE2),False,0.0308003021,0.0688715693,35507.334587029,7292137.013148898,0.0498359357,18.970179534726583
54514672,(2025 AO1),False,0.0068636476,0.0153475826,29199.2676708784,527693.187174357,0.0111056151,1.3727710384348517
3561029,(2011 GE3),False,0.0177237239,0.0396314515,29942.4840770101,49668157.47533864,0.0286775877,129.2095667932847
54169408,(2021 NT5),False,0.010012787,0.0223892723,29518.572989176,70334863.48525196,0.01620102965,182.97311000325692
54256791,(2022 EQ6),False,0.0152249185,0.0340439527,87773.1459338218,70563038.69861434,0.024634435599999997,183.56669796725896
54508753,(2024 YV1),False,0.0151549664,0.033887535,20875.5513182814,14250723.733843775,0.024521250700000004,37.072642387730944
54508761,(2024 YD2),False,0.0282198679,0.063101543,31568.6426263764,9147401.985409644,0.04566070545,23.79657124196057
54509628,(2024 YY4),False,0.0136947774,0.0306224531,14430.6962430265,1676103.96014581,0.02215861525,4.360312071138944
54511956,(2024 YZ8),False,0.0488151892,0.1091540813,77314.64760315,10850468.268861296,0.07898463524999999,28.227024632833757
54511954,(2024 YY8),False,0.004770402,0.0106669431,17129.1382745626,1290408.727100352,0.00771867255,3.356942578304766
54513028,(2024 YV10),False,0.0154367182,0.0345175513,21053.0558259305,8500461.014985574,0.024977134749999998,22.113582245019703
54511964,(2024 YJ9),False,0.0069591304,0.0155610887,51064.4715130282,1264885.131389663,0.01126010955,3.2905440462790403
54514249,(2025 AG1),False,0.0033616692,0.0075169209,9522.5042591951,671017.850013351,0.00543929505,1.7456239594520055
