id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
3879536,(2019 UQ4),False,0.0066765941,0.0149293183,19039.772125257,43946464.29946241
3114026,(2002 CC14),False,0.0291443905,0.0651688382,45676.558231961,3221481.327919149
3550466,(2010 VZ11),False,0.0201629919,0.0450858206,19834.9466614448,42213564.68518282
3553988,(2010 XR69),False,0.022108281,0.0494356193,42420.4902237676,41739188.11903731
3721289,(2015 MC),False,0.0400456158,0.0895447192,24207.5551282798,27392185.06603491
3721991,(2015 MT59),False,0.3255029858,0.727846803,105589.0326613169,60364054.971724965
3739246,(2016 AZ8),True,0.1623883902,0.3631114793,81089.0269454729,67311767.7074855
3789390,(2017 VU13),False,0.1764229081,0.3944936153,58919.7679871677,52858560.74335251
3836246,(2018 VR9),False,0.0766575574,0.1714115092,120881.9997925513,45636721.07081808
3838075,(2019 BZ4),False,0.0148099972,0.0331161605,27635.3597865792,14941503.44752434
3989259,(2020 BL11),False,0.0073207399,0.016369672,50792.1453642586,65392950.77752837
2326290,326290 Akhenaten (1998 HE3),True,0.1144339731,0.2558821427,58125.163507771,18470358.013730872
3092284,(2001 BX15),False,0.1187284988,0.2654849942,48966.7346673872,18251012.380811423
3358222,(2006 VX2),False,0.0294140602,0.0657718381,33587.1900522409,48256790.29838534
3601299,(2012 EL8),False,0.0058150704,0.0130028927,36223.3605784342,42225926.046939634
3656792,(2014 BA3),False,0.0057617575,0.0128836815,53254.2571588825,60818033.74861768
3745111,(2016 EJ27),False,0.0231502122,0.0517654482,92858.8285364378,73557953.63354446
3797702,(2018 AE13),False,0.0334622374,0.0748238376,35857.0069508709,45765037.56670591
3827356,(2018 RE3),False,0.0092162655,0.0206081961,40042.2308365066,5948840.412515114
3989158,(2020 BY6),False,0.0391340663,0.0875064325,43291.5842701991,39942884.70879178
3617387,(2012 VE46),True,0.2424124811,0.5420507863,47540.1681472651,66886272.21544292
3831890,(2018 UJ1),False,0.0555334912,0.1241766613,22544.5557069723,70331538.85210866
3991734,(2020 DH2),False,0.0242412481,0.0542050786,43395.5634161051,28601105.1405846
3363697,(2006 XP4),False,0.04411182,0.0986370281,49207.9109770382,37192843.50538769
3607530,(2012 PB20),False,0.0292789148,0.0654696439,15342.0139084111,1335063.30234089
3647027,(2013 RE6),False,0.1326034968,0.2965104328,25241.3147282079,25859981.615809083
3744318,(2016 CY247),False,0.04411182,0.0986370281,28536.853052789,56005507.92450155
3843428,(2019 OW3),False,0.1019893859,0.2280551997,75494.2547214058,26188867.970269047
3404165,(2008 DL4),False,0.0110803882,0.0247765013,21287.0273338422,13372373.109469846
3743123,(2016 CA138),False,0.0578835257,0.1294314984,51905.693164599,10955952.674076336
3797750,(2018 BP1),False,0.0319561887,0.0714562102,36884.6640040093,8928767.286447797
2322756,322756 (2001 CK32),False,0.3789264984,0.8473054089,79611.3243682841,63055129.06303286
3263232,(2004 XG),False,0.0391340663,0.0875064325,32707.5577732412,5971407.206325253
3557958,(2011 DT9),False,0.0242412481,0.0542050786,53523.4324033325,70190193.26437126
3717081,(2015 HS11),False,0.0101054342,0.0225964377,13114.5048585211,36645545.75670643
3739011,(2015 YU7),True,0.1407845434,0.3148038092,32606.7219384845,24420557.118980687
3758923,(2016 RB1),False,0.0058150704,0.0130028927,41246.9444088022,51547196.01750724
3769917,(2017 DU36),False,0.0278326768,0.0622357573,45707.5365559049,16500925.317649659
3838104,(2019 CH1),True,0.1515496636,0.3388753497,136946.8570535586,66162244.79402889
2458452,458452 (2011 BR15),False,0.2954982931,0.6607542706,84421.0177026142,73541062.29868616
3626614,(2013 CV83),False,0.0431077124,0.0963917753,58398.6161445998,21480732.06343147
3644814,(2013 NG10),False,0.0766575574,0.1714115092,55351.8937919812,40089856.896816686
3742333,(2016 CY135),False,0.0334622374,0.0748238376,46492.1123375502,29666449.048356254
3748182,(2016 FJ3),False,0.0836671502,0.1870854353,51567.0973154298,13056058.720648088
3760679,(2016 TU19),False,0.0350392641,0.0783501764,45757.4236051097,59299958.56059124
3711781,(2015 DL155),False,0.0358554334,0.0801751865,67074.7529380896,54056654.34525137
3759775,(2016 SL3),False,0.02658,0.0594346868,34755.8944216823,22972887.7001049
3986832,(2020 BT2),False,0.0490405098,0.1096579137,56220.9257641504,28251635.809668567
3054373,(2000 UK11),False,0.0231502122,0.0517654482,35558.4412005319,46432132.76609063
3991654,(2020 DA1),False,0.002914439,0.0065168838,80702.5324433274,17420012.489209678
3704156,(2015 BG4),False,0.0139493823,0.0311917671,34690.1068309884,34563201.83923445
3666683,(2014 FL38),False,0.046190746,0.1032856481,32578.5950057737,29168871.60286883
3838138,(2019 CC2),False,0.0146067964,0.0326617897,68636.4867911398,73688472.44943528
3989220,(2020 BV9),False,0.0160160338,0.0358129403,61697.6835790367,44417714.47956193
3507181,(2010 CT),False,0.2368944994,0.5297122041,53385.6645758642,69157753.42306589
3548666,(2010 TW54),False,0.0080270317,0.0179489885,22493.0370951929,38931976.66843296
3710246,(2015 CA14),False,0.0725362295,0.1621959399,66396.1831221928,55263521.51815062
3738932,(2015 YQ1),False,0.0066765941,0.0149293183,35168.2854687073,45495645.267879434
