id,nom,est_dangereux,url_nasa
54542180,(2025 QO7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542180
54543093,(2025 QO14),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543093
54544285,(2025 RF1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544285
54543829,(2025 RG),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543829
54545415,(2025 RY3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545415
54549123,(2025 SE26),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549123
3313157,(2006 BA),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3313157
3607530,(2012 PB20),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3607530
3727640,(2015 SA),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3727640
3759318,(2016 RT20),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3759318
3819564,(2018 HW1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3819564
54055107,(2020 TA3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54055107
54245589,(2022 CY2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54245589
54282890,(2022 LA3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54282890
54305030,(2022 SS2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54305030
54377566,(2023 QU1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377566
54381673,(2023 RZ4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54381673
54383282,(2023 RA10),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54383282
54542546,(2025 QA10),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542546
54545002,(2025 RM2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545002
54545147,(2025 RV2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545147
54545422,(2025 RN4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545422
54545434,(2025 RA5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545434
54545773,(2025 SJ),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545773
54546412,(2025 SJ2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546412
54546143,(2025 SV1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546143
54547375,(2025 SL7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547375
3623681,(2013 AW52),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3623681
3648000,(2013 RQ43),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3648000
3744562,(2016 CO248),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3744562
3748519,(2016 FW14),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3748519
3774114,(2017 HG4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3774114
54117596,(2021 CW7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54117596
54143413,(2021 JX),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54143413
54280035,(2022 KW1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54280035
54292330,(2022 OB4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54292330
54317879,(2022 UF4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54317879
54330578,(2022 WO9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54330578
54339977,(2023 BM2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54339977
54376265,(2023 OV4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54376265
54505049,(2024 XH9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54505049
54542543,(2025 QX9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542543
54542754,(2025 QL11),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542754
54543389,(2025 QL17),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543389
54545007,(2025 RQ2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545007
54546135,(2025 SN1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546135
54546405,(2025 RQ7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546405
54547726,(2025 RW14),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547726
3343104,(2006 SP19),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3343104
3451790,(2009 FF),True,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3451790
3684637,(2014 QY363),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3684637
3991699,(2020 DX1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3991699
54053846,(2020 RR2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54053846
54130487,(2021 EN1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54130487
54467484,(2024 QU1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54467484
54541104,(2025 QO1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541104
54542177,(2025 QL7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542177
54542763,(2025 QX11),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542763
54544081,(2025 RR),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544081
54544084,(2025 RU),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544084
54543388,(2025 QJ17),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543388
54545000,(2025 RK2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545000
54545428,(2025 RV4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545428
54545432,(2025 RY4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545432
54545433,(2025 RZ4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545433
54546125,(2025 SB1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546125
54548708,(2025 ST20),True,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54548708
2523661,523661 (2012 LF11),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2523661
3160742,(2003 SU84),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3160742
3545713,(2010 RJ43),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3545713
3612172,(2012 UY9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3612172
54104254,(2021 AN),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54104254
54138710,(2021 HC1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54138710
54383796,(2023 RG13),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54383796
54430772,(2024 EC4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54430772
54469533,(2024 RR8),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54469533
54510155,(2024 YY5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54510155
54541541,(2025 QX3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541541
54542760,(2025 QU11),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542760
54544766,(2025 RT1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544766
54545423,(2025 RO4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545423
54545419,(2025 RF4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545419
54545757,(2025 SD),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545757
54546462,(2025 SQ2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546462
54545761,(2025 RT5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545761
54547372,(2025 SF7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547372
3758923,(2016 RB1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3758923
54065916,(2020 TH6),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54065916
54298615,(2022 QP6),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54298615
54358376,(2023 JE2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54358376
54467973,(2024 RL1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54467973
54537918,(2025 MR92),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54537918
54543096,(2025 QL15),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543096
